"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
550.261191431425,-0.345171207013813,0.085550203009148,-4.03472107455904,5.4667198297237e-05,0.287420169253903,"ANK1"
29.0433723826159,0.584300086375999,0.147946262317696,3.94940755665249,7.83448600473537e-05,0.287420169253903,"EIF5AL1"
62.616617482663,-0.933499730237736,0.240481688629407,-3.88179131458238,0.000103689841701906,0.287420169253903,"ESPN"
7198.75652859329,0.309236638222784,0.0803334035606369,3.8494153679094,0.000118400083034111,0.287420169253903,"FKBP5"
530.540544770975,-0.389669491414437,0.101750500569985,-3.82965675089156,0.000128322123336812,0.287420169253903,"KIFC2"
37.7017490161481,-0.522008556311963,0.133272809241198,-3.91684214720218,8.97164518439465e-05,0.287420169253903,"MAMLD1"
45.9005494765989,-0.93352657455822,0.248884239645408,-3.75084648143346,0.000176238585495042,0.296058793808483,"HBQ1"
85.1148162357412,-0.350536281337171,0.0933288378327371,-3.75592677973123,0.000172701184124328,0.296058793808483,"TONSL"
402.427253605989,-0.70194659962891,0.189012832732407,-3.71375101616875,0.000204209714832306,0.304930484181262,"SLC6A8"
565.984441859594,-0.234841612384482,0.0643216767852162,-3.65104929040747,0.000261171105818113,0.328811950652314,"GOLGA7B"
729.716866395657,-0.148637985288714,0.041050250519689,-3.62087888397716,0.000293603944328281,0.328811950652314,"MAP3K12"
169.4888452574,-0.760335282071429,0.209485597870604,-3.62953486922322,0.000283932376774196,0.328811950652314,"OR2W3"
1392.09338261703,0.12625976924323,0.0352019608319209,3.58672546242761,0.000334856545079535,0.346164393024913,"PEX2"
115.276433685811,-0.305129207732008,0.0856043011545297,-3.56441444666665,0.000364669368591303,0.350056546035609,"TRIM46"
1753.11534576532,0.129899254672488,0.0369693807226246,3.51369842105557,0.000441914224628195,0.395925684318554,"SLBP"
439.840285010095,-0.205941986585059,0.061112172278691,-3.36990126362875,0.000751951219671647,0.461837564021294,"AKT1S1"
721.360218935562,0.112990092874971,0.0332307043804147,3.40017146737235,0.000673436083743005,0.461837564021294,"CCDC59"
909.191754330841,-0.497269782283261,0.146649779939932,-3.39086620168773,0.000696721058200156,0.461837564021294,"FCER2"
790.027191591884,-0.199021626271188,0.0587402412026593,-3.38816494785142,0.000703619359883823,0.461837564021294,"INO80E"
755.599476952975,-0.816512484761308,0.240963579188215,-3.38853069626567,0.000702681632559814,0.461837564021294,"SELENBP1"
234.380950274152,-0.226632604874194,0.0672818452777922,-3.36840649863982,0.000756040360775986,0.461837564021294,"TNKS1BP1"
5740.9464473016,-0.460848172661813,0.133382231650549,-3.4550941827784,0.000550100624436754,0.461837564021294,"YBX3"
347.847024199205,0.143300873445179,0.0428671700154125,3.34290491753146,0.00082906301816315,0.484425126134547,"MED30"
13963.2706196475,0.142148856739403,0.0441823084434943,3.2173252540935,0.00129391821237405,0.545128871800436,"CALM2"
